movie_id,title,budget,revenue,runtime,release_month,release_year,release_dow,actor_gender,actor_credits,actor_net_to_date,producer_gender,producer_credits,producer_net_to_date,writer_gender,writer_credits,writer_net_to_date,director_gender,director_credits,director_net_to_date,genre_count,language_count,net,target
9268,Eraser,100000000,242295562,115,6,1996,4,2,13,1662062468,2,2,619187619,2,0,0,2,2,368376629,4,1,142295562,1
68718,Django Unchained,100000000,425368238,165,12,2012,1,2,7,285134903,1,0,0,2,3,413541057,2,6,769302442,2,3,325368238,1
9946,End of Days,100000000,211989043,121,11,1999,2,2,15,1874190419,2,1,2507368,2,0,0,2,2,48603189,4,3,111989043,1
18162,Land of the Lost,100000000,68688831,102,6,2009,4,2,10,501011073,2,1,11070433,2,0,0,0,3,370624358,3,1,-31311169,0
22972,Green Zone,100000000,94882889,115,3,2010,3,2,12,775146522,2,1,61286096,2,2,114470307,2,3,647610451,5,2,-5117111,0
227973,The Peanuts Movie,99000000,246233113,88,11,2015,3,2,0,0,2,0,0,0,0,0,2,1,782244782,1,1,147233113,1
29193,The Spanish Prisoner,10000000,13835130,110,9,1997,0,2,1,-1043411,1,1,-9313159,2,1,51270454,2,0,0,4,1,3835130,1
76758,The Flowers of War,94000000,95311434,145,12,2011,3,2,10,1349270345,0,0,0,0,0,0,2,4,247473752,3,3,1311434,1
9408,Surf's Up,85000000,149044513,85,6,2007,4,2,3,88030456,2,0,0,1,0,0,2,0,0,3,1,64044513,1
37786,Sex and the City 2,100000000,288347692,146,5,2010,2,1,0,0,1,0,0,2,0,0,2,0,0,3,2,188347692,1
157353,Transcendence,100000000,103039258,119,4,2014,2,2,23,3532013669,2,3,198303606,0,0,0,2,0,0,4,1,3039258,1
331,Jurassic Park III,93000000,368780809,92,7,2001,2,2,1,857100000,2,4,70624645,2,0,0,2,0,0,4,2,275780809,1
47964,A Good Day to Die Hard,92000000,304654182,98,2,2013,2,2,27,2689802005,2,2,101286748,0,0,0,2,3,78179287,2,2,212654182,1
44048,Unstoppable,100000000,167805466,98,11,2010,3,2,21,1079274215,2,5,1047031529,0,1,56303988,2,11,1082615273,2,1,67805466,1
65754,The Girl with the Dragon Tattoo,90000000,232617430,158,12,2011,2,2,5,812820589,2,20,1275051821,2,1,-45549103,2,8,1038398532,4,1,142617430,1
9836,Happy Feet,100000000,384335608,108,11,2006,3,2,6,2632350334,2,2,203266770,2,0,0,2,4,125257388,2,1,284335608,1
76492,Hotel Transylvania,85000000,358375603,91,9,2012,3,2,18,1462597473,1,0,0,0,0,0,0,0,0,4,1,273375603,1
59961,Safe House,85000000,208076205,115,2,2012,3,2,22,1147079681,2,4,45145470,0,0,0,2,1,5912403,2,3,123076205,1
9798,Enemy of the State,90000000,250649836,132,11,1998,4,2,2,864376292,2,11,2153666691,2,0,0,2,6,787511535,3,1,160649836,1
10159,The Rundown,85000000,80916492,104,9,2003,4,2,1,105333180,2,2,127165792,2,0,0,2,1,-20101588,4,2,-4083508,0
9341,The Core,60000000,74208267,136,3,2003,4,2,1,2858661,0,0,0,0,0,0,2,3,152258068,4,1,14208267,1
9339,Click,82500000,237681299,107,6,2006,3,2,9,689183383,2,0,0,2,0,0,2,2,125170541,4,3,155181299,1
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,82,7,2010,4,2,2,-5349181,2,6,-16043225,2,0,0,2,0,0,2,2,27483764,1
146216,RED 2,84000000,137162560,116,7,2013,3,2,28,2902456187,2,13,766605021,0,0,0,2,3,143153344,4,3,53162560,1
754,Face/Off,80000000,245676146,138,6,1997,4,2,6,680900683,2,0,0,2,0,0,2,1,100270147,4,2,165676146,1
13027,Eagle Eye,80000000,178066569,118,9,2008,3,2,5,711784749,2,0,0,0,0,0,2,2,80436832,3,1,98066569,1
20504,The Book of Eli,80000000,157107755,118,1,2010,3,2,20,1002166460,2,5,255803350,2,0,0,2,2,63958115,3,1,77107755,1
2300,Space Jam,80000000,250200000,88,11,1996,4,2,0,0,2,5,435337070,2,1,-6146000,2,0,0,5,1,170200000,1
8834,Conspiracy Theory,75000000,136982834,135,8,1997,3,2,7,783963198,2,11,766389123,2,0,0,2,7,565909927,4,1,61982834,1
228150,Fury,68000000,211817906,135,10,2014,2,2,16,1863960269,0,2,23634902,0,1,-17491482,0,4,73171809,3,1,143817906,1
159824,Hotel Transylvania 2,80000000,473226958,89,9,2015,0,2,21,2058594445,2,0,0,0,1,273375603,0,1,273375603,3,2,393226958,1
19959,Surrogates,80000000,122444772,89,9,2009,3,2,23,2555845301,2,1,277375031,2,2,230776649,2,3,314825559,3,2,42444772,1
77951,Walking With Dinosaurs,80000000,126546518,87,12,2013,2,2,0,0,0,0,0,2,0,0,2,1,64717124,3,1,46546518,1
274854,The Last Witch Hunter,90000000,146936910,106,10,2015,2,2,10,2183236155,2,1,8350926,0,0,0,2,2,24225626,3,1,56936910,1
9992,Arthur and the Invisibles,86000000,107944236,94,12,2006,2,2,0,0,2,10,88589104,2,1,-24503683,2,3,179287156,4,1,21944236,1
36970,Oceans,80000000,86787530,84,10,2009,5,2,11,1186229023,0,0,0,2,0,0,2,1,-15649317,2,1,6787530,1
17711,The Adventures of Rocky & Bullwinkle,76000000,35134820,88,6,2000,4,1,0,0,2,4,183149718,0,0,0,2,0,0,5,1,-40865180,0
328111,The Secret Life of Pets,75000000,875958308,87,6,2016,5,2,0,0,2,3,2452006832,2,0,0,0,0,0,2,1,800958308,1
953,Madagascar,75000000,532680671,86,5,2005,2,2,10,935488935,1,0,0,2,0,0,2,1,111757863,2,5,457680671,1
36657,X-Men,75000000,296339527,104,7,2000,3,2,3,234000000,0,1,-12436272,2,0,0,2,1,17341568,3,1,221339527,1
594,The Terminal,60000000,219417255,128,6,2004,3,2,14,3426019730,2,8,1947222182,2,1,204118201,2,18,5466099249,2,5,159417255,1
11678,Vertical Limit,75000000,215663859,124,12,2000,4,2,0,0,2,0,0,2,0,0,2,2,449482557,3,2,140663859,1
37821,Killers,75000000,98159963,100,6,2010,4,1,2,297558226,2,0,0,0,0,0,2,5,437626801,4,1,23159963,1
23685,Monkeybone,75000000,5409517,93,2,2001,4,2,3,112545069,2,0,0,2,0,0,2,0,0,5,1,-69590483,0
9741,Unbreakable,75000000,248118121,106,11,2000,0,2,13,1870808415,2,2,75978709,2,1,632806292,2,1,632806292,3,1,173118121,1
211672,Minions,74000000,1156730962,91,6,2015,2,1,18,1888135108,2,2,1369275870,2,0,0,0,0,0,4,1,1082730962,1
153518,The Angry Birds Movie,73000000,349779543,97,5,2016,2,2,1,232994119,0,0,0,2,1,368140005,0,0,0,2,1,276779543,1
20829,Funny People,75000000,61458982,146,7,2009,4,2,13,1091057740,2,3,217624501,2,0,0,2,2,272525755,2,1,-13541018,0
6947,The Village,60000000,256697520,108,7,2004,4,1,0,0,2,4,585344747,2,3,1142172330,2,3,1142172330,3,1,196697520,1
2675,Signs,72000000,408247917,106,8,2002,4,2,13,1387806446,2,3,249096830,2,2,805924413,2,2,805924413,4,2,336247917,1
16869,Inglourious Basterds,70000000,319131050,153,8,2009,1,2,11,1177153312,2,12,760160016,2,2,164410007,2,5,520171392,4,4,249131050,1
23398,Alvin and the Chipmunks: The Squeakquel,75000000,443140005,88,12,2009,0,2,0,0,2,0,0,2,0,0,1,3,206081714,5,2,368140005,1
117263,Olympus Has Fallen,70000000,161025640,120,3,2013,2,2,10,467164353,2,0,0,0,0,0,2,5,111946915,2,2,91025640,1
44943,Battle: Los Angeles,70000000,202466756,116,3,2011,1,2,4,53493451,2,20,1420400561,2,0,0,0,2,74807521,2,1,132466756,1
57212,War Horse,66000000,177584879,146,12,2011,6,2,0,0,2,13,2696277368,2,1,-13651216,2,23,6989190898,2,1,111584879,1
49017,Dracula Untold,70000000,215529201,92,10,2014,2,2,0,0,2,10,257342818,0,0,0,0,0,0,5,1,145529201,1
44564,The Dilemma,70000000,67112664,111,1,2011,3,2,1,157293131,2,28,3074703296,0,1,64748021,2,10,1914982135,2,1,-2887336,0
201088,Blackhat,70000000,17752940,133,1,2015,1,2,2,773898020,2,8,750066433,0,0,0,2,5,273378504,3,4,-52247060,0
5137,Sky Captain and the World of Tomorrow,70000000,57958696,107,9,2004,4,2,2,122989779,2,0,0,2,0,0,2,0,0,5,2,-12041304,0
188207,The Legend of Hercules,70000000,61279452,99,1,2014,4,2,0,0,2,0,0,2,0,0,2,14,288921138,2,1,-8720548,0
214756,Ted 2,68000000,217022588,115,6,2015,3,2,19,2224547441,2,6,215000232,2,1,46778557,2,2,546146872,1,1,149022588,1
26428,Agora,70000000,39041505,127,5,2009,6,1,1,-14469236,2,2,216494277,2,1,190765056,2,2,216494277,3,1,-30958495,0
9824,Mystery Men,68000000,29762011,121,8,1999,4,2,1,7702438,2,2,140025767,2,0,0,0,0,0,5,1,-38237989,0
603,The Matrix,63000000,463517383,136,3,1999,1,2,5,474624853,2,13,973816560,1,0,0,1,1,2511317,2,1,400517383,1
4244,The Kid,65000000,69700000,104,7,2000,4,2,12,1866108415,2,0,0,1,0,0,2,3,240005990,3,1,4700000,1
1852,World Trade Center,63000000,162945894,128,8,2006,2,2,14,826570725,1,6,122917833,0,0,0,2,10,493882084,3,1,99945894,1
345,Eyes Wide Shut,65000000,162091208,159,7,1999,2,2,8,1613736669,2,4,99857646,2,0,0,2,5,107107646,2,1,97091208,1
256591,Focus,50100000,153962963,105,2,2015,2,2,13,3549105132,1,10,123998714,2,1,-2347965,2,2,90503232,4,1,103862963,1
