,movie_id,title,budget,revenue,release_date,movie_url
57,2290,Jakob the Liar,15000000,4956401,9/16/1999,https://www.the-numbers.com//movie/Jakob-the-Liar#tab=summary
58,2312,In the Name of the King: A Dungeon Siege Tale,60000000,13233220,11/29/2007,https://www.the-numbers.com//movie/In-the-Name-of-the-King-A-Dungeon-Siege-Tale#tab=summary
59,2447,The Nativity Story,35000000,46309644,12/1/2006,https://www.the-numbers.com//movie/Nativity-Story-The#tab=summary
60,2577,Code 46,7500000,1788324,9/2/2003,https://www.the-numbers.com//movie/Code-46#tab=summary
61,2661,Batman,1377800,0,7/30/1966,https://www.the-numbers.com//movie/Batman-The-Movie#tab=summary
62,2752,40 Days and 40 Nights,17000000,95092667,3/1/2002,https://www.the-numbers.com//movie/40-Days-and-40-Nights#tab=summary
63,2771,American Splendor,2000000,8685632,8/15/2003,https://www.the-numbers.com//movie/American-Splendor#tab=summary
64,2779,The Curse of the Jade Scorpion,26000000,18496522,8/5/2001,https://www.the-numbers.com//movie/Curse-of-the-Jade-Scorpion-The#tab=summary
65,2786,Pierrot le Fou,,,8/29/1965,
66,2830,My Boss's Daughter,14000000,15549702,8/21/2003,https://www.the-numbers.com//movie/My-Bosss-Daughter#tab=summary
67,2841,A Very Long Engagement,55000000,69759296,10/26/2004,https://www.the-numbers.com//movie/long-dimanche-de-fiancailles-Un#tab=summary
68,2895,The Apostle,5000000,21277770,10/9/1997,https://www.the-numbers.com//movie/Apostle-The#tab=summary
69,3028,Jekyll and Hyde ... Together Again,,,11/10/1982,
70,3179,Beavis and Butt-Head Do America,12000000,63118386,12/15/1996,https://www.the-numbers.com//movie/Beavis-and-Butt-head-Do-America#tab=summary
71,3472,Dirty Pretty Things,10000000,14156753,9/5/2002,https://www.the-numbers.com//movie/Dirty-Pretty-Things#tab=summary
72,3558,"Girl, Interrupted",24000000,28871190,12/21/1999,https://www.the-numbers.com//movie/Girl-Interrupted#tab=summary
73,3587,Bogus,32000000,4357406,9/6/1996,https://www.the-numbers.com//movie/Bogus#tab=summary
74,3635,Girl with a Pearl Earring,12000000,43281552,8/31/2003,https://www.the-numbers.com//movie/Girl-with-a-Pearl-Earring#tab=summary
75,3766,The Lady from Shanghai,,,12/24/1947,
76,4032,My Girl,16500000,58011485,11/27/1991,https://www.the-numbers.com//movie/My-Girl#tab=summary
77,4107,Bloody Sunday,,773228,1/16/2002,https://www.the-numbers.com//movie/Bloody-Sunday#tab=summary
78,4170,Trade,12000000,1513388,1/23/2007,https://www.the-numbers.com//movie/Trade#tab=summary
79,4474,My Super Ex-Girlfriend,30000000,60772856,6/20/2006,https://www.the-numbers.com//movie/My-Super-Ex-Girlfriend#tab=summary
80,4550,Sympathy for Lady Vengeance,4500000,23471871,7/29/2005,https://www.the-numbers.com//movie/Chinjeolhan-geumjassi#tab=summary
81,4657,Jindabyne,10800000,2862544,7/20/2006,https://www.the-numbers.com//movie/Jindabyne#tab=summary
82,4688,Across the Universe,45000000,29367143,9/14/2007,https://www.the-numbers.com//movie/Across-the-Universe#tab=summary
