movie_id,title,name,unknown,male,female,credits,net_to_date
215,Saw II,Tobin Bell,0,1,0,0,0
217,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,0,1,0,17,2169137954
218,The Terminator,Arnold Schwarzenegger,0,1,0,2,141114085
219,Volver,Penélope Cruz,0,0,1,2,-22311070
223,Rebecca,Laurence Olivier,0,1,0,0,0
226,Boys Don't Cry,Hilary Swank,0,0,1,0,0
227,The Outsiders,Matt Dillon,0,1,0,0,0
231,Syriana,George Clooney,0,1,0,10,1125783883
235,Stand by Me,Wil Wheaton,0,1,0,0,0
238,The Godfather,Marlon Brando,0,1,0,1,8690000
239,Some Like It Hot,Marilyn Monroe,0,0,1,1,7250000
240,The Godfather: Part II,Al Pacino,0,1,0,0,0
242,The Godfather: Part III,Al Pacino,0,1,0,3,167307057
243,High Fidelity,John Cusack,0,1,0,5,-15168155
245,About a Boy,Hugh Grant,0,1,0,3,241945300
248,Pocketful of Miracles,Glenn Ford,0,1,0,0,0
251,Ghost,Patrick Swayze,0,1,0,2,49226525
252,Willy Wonka & the Chocolate Factory,Gene Wilder,0,1,0,0,0
253,Live and Let Die,Roger Moore,0,1,0,0,0
254,King Kong,Naomi Watts,0,0,1,2,116568877
257,Oliver Twist,Barney Clark,0,1,0,0,0
261,Cat on a Hot Tin Roof,Elizabeth Taylor,0,0,1,0,0
268,Batman,Jack Nicholson,0,1,0,3,163198649
272,Batman Begins,Christian Bale,0,1,0,4,-1108574
274,The Silence of the Lambs,Jodie Foster,0,0,1,0,0
277,Underworld,Kate Beckinsale,0,0,1,0,0
278,The Shawshank Redemption,Tim Robbins,0,1,0,1,-25061851
279,Amadeus,F. Murray Abraham,0,1,0,0,0
280,Terminator 2: Judgment Day,Arnold Schwarzenegger,0,1,0,10,925881568
284,The Apartment,Jack Lemmon,0,1,0,0,0
285,Pirates of the Caribbean: At World's End,Johnny Depp,0,1,0,17,1986026836
288,High Noon,Gary Cooper,0,1,0,0,0
289,Casablanca,Humphrey Bogart,0,1,0,0,0
291,Riding Giants,Jeff Clark,1,0,0,0,0
292,Dave Chappelle's Block Party,Dave Chappelle,0,1,0,1,9460020
296,Terminator 3: Rise of the Machines,Arnold Schwarzenegger,0,1,0,18,1993647372
297,Meet Joe Black,Brad Pitt,0,1,0,5,649628032
298,Ocean's Thirteen,George Clooney,0,1,0,12,1143698791
302,Swimming Pool,Charlotte Rampling,0,0,1,0,0
306,Beverly Hills Cop III,Eddie Murphy,0,1,0,5,716043453
309,The Celebration,Ulrich Thomsen,0,1,0,0,0
310,Bruce Almighty,Jim Carrey,0,1,0,12,1479823512
311,Once Upon a Time in America,Robert De Niro,0,1,0,3,66962574
314,Catwoman,Halle Berry,0,0,1,2,142500810
319,True Romance,Christian Slater,0,1,0,0,0
320,Insomnia,Al Pacino,0,1,0,8,244097146
321,Mambo Italiano,Luke Kirby,0,1,0,0,0
322,Mystic River,Sean Penn,0,1,0,5,180890268
326,Snakes on a Plane,Samuel L. Jackson,0,1,0,7,125389377
327,Brother,Takeshi Kitano,0,1,0,0,0
329,Jurassic Park,Sam Neill,0,1,0,0,0
330,The Lost World: Jurassic Park,Jeff Goldblum,0,1,0,0,0
331,Jurassic Park III,Sam Neill,0,1,0,1,857100000
332,Inspector Gadget,Matthew Broderick,0,1,0,4,83530886
334,Magnolia,Julianne Moore,0,0,1,0,0
335,Once Upon a Time in the West,Henry Fonda,0,1,0,1,650000
338,"Good bye, Lenin!",Daniel Brühl,0,1,0,0,0
342,Summer Storm,Robert Stadlober,0,1,0,0,0
345,Eyes Wide Shut,Tom Cruise,0,1,0,8,1613736669
346,Seven Samurai,Toshirō Mifune,0,1,0,0,0
348,Alien,Tom Skerritt,0,1,0,0,0
350,The Devil Wears Prada,Meryl Streep,0,0,1,6,412177859
364,Batman Returns,Michael Keaton,0,1,0,0,0
377,A Nightmare on Elm Street,John Saxon,0,1,0,0,0
380,Rain Man,Dustin Hoffman,0,1,0,2,197385053
387,Das Boot,Jürgen Prochnow,0,1,0,0,0
388,Inside Man,Denzel Washington,0,1,0,16,630932899
389,12 Angry Men,Henry Fonda,0,1,0,0,0
391,A Fistful of Dollars,Clint Eastwood,0,1,0,0,0
392,Chocolat,Juliette Binoche,0,0,1,1,-20000000
393,Kill Bill: Vol. 2,Uma Thurman,0,0,1,1,150949000
395,AVP: Alien vs. Predator,Sanaa Lathan,0,0,1,1,19362712
398,Capote,Philip Seymour Hoffman,0,1,0,1,-8988946
400,Things to Do in Denver When You're Dead,Andy García,0,1,0,0,0
401,Garden State,Zach Braff,0,1,0,0,0
403,Driving Miss Daisy,Morgan Freeman,0,1,0,0,0
404,The Straight Story,Richard Farnsworth,0,1,0,0,0
408,Snow White and the Seven Dwarfs,Adriana Caselotti,0,0,1,0,0
409,The English Patient,Ralph Fiennes,0,1,0,0,0
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley,0,1,0,0,0
414,Batman Forever,Val Kilmer,0,1,0,1,-3583107
415,Batman & Robin,George Clooney,0,1,0,1,6836616
421,The Life Aquatic with Steve Zissou,Bill Murray,0,1,0,6,419387471
423,The Pianist,Adrien Brody,0,1,0,0,0
424,Schindler's List,Liam Neeson,0,1,0,0,0
425,Ice Age,Ray Romano,0,1,0,0,0
429,"The Good, the Bad and the Ugly",Eli Wallach,0,1,0,0,0
431,Cube,Nicole de Boer,0,0,1,0,0
433,Mary Poppins,Julie Andrews,0,0,1,0,0
435,The Day After Tomorrow,Dennis Quaid,0,1,0,5,1272818
436,Maria Full of Grace,Catalina Sandino Moreno,0,0,1,0,0
440,Aliens vs Predator: Requiem,Steven Pasquale,0,1,0,0,0
451,Leaving Las Vegas,Nicolas Cage,0,1,0,0,0
453,A Beautiful Mind,Russell Crowe,0,1,0,2,335528570
454,Romeo + Juliet,Leonardo DiCaprio,0,1,0,0,0
455,Bend It Like Beckham,Parminder Nagra,0,0,1,0,0
462,Erin Brockovich,Julia Roberts,0,0,1,7,1497028529
468,My Own Private Idaho,River Phoenix,0,1,0,0,0
470,21 Grams,Sean Penn,0,1,0,4,140462429
473,Pi,Sean Gullette,0,1,0,0,0
479,Shaft,Samuel L. Jackson,0,1,0,2,3093525
480,Monsoon Wedding,Naseeruddin Shah,0,1,0,0,0
