movie_id,title,name,unknown,male,female,credits,net_to_date
46146,Troll Hunter,André Øvredal,1,0,0,0,0
44945,Trust,Andy Bellin,1,0,0,0,0
15028,Clockstoppers,Andy Hedden,0,1,0,0,0
324322,They Will Have to Kill Us First,Andy Morgan,1,0,0,0,0
132232,Mama,Andy Muschietti,0,1,0,0,0
19905,"The Goods: Live Hard, Sell Hard",Andy Stock,0,1,0,0,0
79777,In the Land of Blood and Honey,Angelina Jolie,0,0,1,0,0
334531,My All American,Angelo Pizzo,1,0,0,0,0
44113,Stone,Angus MacLachlan,1,0,0,0,0
3059,Intolerance,Anita Loos,0,0,1,0,0
268171,Elsa & Fred,Anna Pavignano,1,0,0,0,0
27420,Graduation Day,Anne Marisse,1,0,0,0,0
16988,How She Move,Annemarie Morais,0,0,1,0,0
201132,Antarctica: A Year on Ice,Anthony Powell,1,0,0,0,0
172391,Khumba,Anthony Silverston,1,0,0,0,0
174751,Jane Got a Gun,Anthony Tambakis,0,1,0,0,0
13435,Antwone Fisher,Antwone Fisher,1,0,0,0,0
58051,Housefull,Anvita Dutt Guptan,1,0,0,0,0
86834,Noah,Ari Handel,1,0,0,0,0
12123,Chain Reaction,Arne Schmidt,1,0,0,0,0
35691,Letters to God,Art D'Alessandro,0,1,0,0,0
8944,What Just Happened,Art Linson,0,1,0,0,0
13056,Punisher: War Zone,Art Marcum,1,0,0,0,0
345,Eyes Wide Shut,Arthur Schnitzler,0,1,0,0,0
16471,Modern Problems,Arthur Sellers,0,1,0,0,0
14137,Beer League,Artie Lange,0,1,0,0,0
215881,Plush,Arty Nelson,1,0,0,0,0
124606,Bang,Ash Baron-Cohen,1,0,0,0,0
49538,X-Men: First Class,Ashley Edward Miller,0,1,0,0,0
48289,The Debt,Assaf Bernstein,1,0,0,0,0
20156,Exotica,Atom Egoyan,0,1,0,0,0
4244,The Kid,Audrey Wells,0,0,1,0,0
83588,Middle of Nowhere,Ava DuVernay,0,0,1,0,0
22907,Takers,Avery Duff,1,0,0,0,0
224569,Taxman,Avi Nesher,0,1,0,0,0
185008,Yeh Jawaani Hai Deewani,Ayan Mukherjee,1,0,0,0,0
7461,Vantage Point,Barry Levy,0,1,0,0,0
29122,An Everlasting Piece,Barry McEvoy,0,1,0,0,0
39349,Sugar Hill,Barry Michael Cooper,1,0,0,0,0
14271,Beyond the Mat,Barry W. Blaustein,0,1,0,0,0
17186,Supercross,Bart Baker,0,1,0,0,0
14057,Trust the Man,Bart Freundlich,0,1,0,0,0
17277,The Fall of the Roman Empire,Basilio Franchina,1,0,0,0,0
50848,The Names of Love,Baya Kasmi,1,0,0,0,0
4657,Jindabyne,Beatrix Christian,1,0,0,0,0
91122,16 to Life,Becky Smith,1,0,0,0,0
489,Good Will Hunting,Ben Affleck,0,1,0,0,0
38319,Your Highness,Ben Best,0,1,0,0,0
226486,Tammy,Ben Falcone,0,1,0,0,0
770,Gone with the Wind,Ben Hecht,0,1,0,0,0
40494,Trapeze,Ben Hecht,0,1,0,1,396176459
329440,The Forest,Ben Ketai,1,0,0,0,0
113947,The Sessions,Ben Lewin,0,1,0,0,0
45612,Source Code,Ben Ripley,0,1,0,0,0
329833,Zoolander 2,Ben Stiller,0,1,0,0,0
42151,Down Terrace,Ben Wheatley,0,1,0,0,0
60420,Like Crazy,Ben York Jones,1,0,0,0,0
14181,Boiler Room,Ben Younger,0,1,0,0,0
84175,Beasts of the Southern Wild,Benh Zeitlin,1,0,0,0,0
320146,Creative Control,Benjamin Dickinson,0,1,0,0,0
100042,Dumb and Dumber To,Bennett Yellin,0,1,0,1,231275374
8467,Dumb and Dumber,Bennett Yellin,0,1,0,0,0
23618,The Original Kings of Comedy,Bernie Mac,0,1,0,0,0
257932,Dragon Nest: Warriors' Dawn,Bill Borden,0,1,0,0,0
14729,The Long Riders,Bill Bryden,0,1,0,0,0
15045,Fat Albert,Bill Cosby,0,1,0,0,0
14120,End of the Spear,Bill Ewing,0,1,0,0,0
9963,Premonition,Bill Kelly,0,1,0,0,0
23479,The Bad News Bears,Bill Lancaster,0,1,0,0,0
171759,The Lost Medallion: The Adventures of Billy Stone,Bill Muir,1,0,0,0,0
87818,Movie 43,Bill O'Malley,1,0,0,0,0
953,Madagascar,Billy Frolick,1,0,0,0,0
13537,Shattered Glass,Billy Ray,0,1,0,0,0
18065,Next Day Air,Blair Cobbs,1,0,0,0,0
207769,Banshee Chapter,Blair Erickson,1,0,0,0,0
42586,Darling Lili,Blake Edwards,0,1,0,0,0
23988,Stan Helsing,Bo Zenga,0,1,0,0,0
272878,Max,Boaz Yakin,0,1,0,1,10346186
72387,Safe,Boaz Yakin,0,1,0,0,0
10246,Porky's,Bob Clark,0,1,0,0,0
37821,Killers,Bob DeRosa,0,1,0,0,0
24356,Masked and Anonymous,Bob Dylan,0,1,0,0,0
105,Back to the Future,Bob Gale,0,1,0,0,0
129670,Nebraska,Bob Nelson,1,0,0,0,0
11459,Sky High,Bob Schooley,0,1,0,0,0
41469,Next Stop Wonderland,Brad Anderson,0,1,0,0,0
67675,Glee: The Concert Movie,Brad Falchuk,0,1,0,0,0
241554,Run All Night,Brad Ingelsby,1,0,0,0,0
206284,Grace Unplugged,Brad J. Silverman,1,0,0,0,0
31005,Moonlight Mile,Brad Silberling,1,0,0,0,0
15581,Who's Your Caddy?,Bradley Allenstein,0,1,0,1,-1828183
35696,Juwanna Mann,Bradley Allenstein,0,1,0,0,0
44770,The Exploding Girl,Bradley Rust Gray,0,1,0,0,0
244776,The Sleepwalker,Brady Corbet,0,1,0,0,0
378200,The Perfect Match,Brandon Broussard,1,0,0,0,0
16028,They,Brendan Hood,0,1,0,0,0
76341,Mad Max: Fury Road,Brendan McCarthy,0,1,0,0,0
19803,Underclassman,Brent Goldberg,0,1,0,0,0
12149,Frailty,Brent Hanley,0,1,0,0,0
116977,Foodfight!,Brent V. Friedman,0,1,0,0,0
109729,The Canyons,Bret Easton Ellis,1,0,0,1,7799060
1809,The Rules of Attraction,Bret Easton Ellis,1,0,0,0,0
176124,Home Run,Brian Brightly,1,0,0,0,0
13193,Saved!,Brian Dannelly,0,1,0,0,0
11033,Dressed to Kill,Brian De Palma,0,1,0,0,0
11600,Redacted,Brian De Palma,0,1,0,2,7237910
9280,Femme Fatale,Brian De Palma,0,1,0,1,25399000
8069,Barbarella,Brian Degas,1,0,0,0,0
8810,Mad Max 2: The Road Warrior,Brian Hannant,0,1,0,0,0
9476,A Knight's Tale,Brian Helgeland,0,1,0,1,61982834
8834,Conspiracy Theory,Brian Helgeland,0,1,0,0,0
276907,Legend,Brian Helgeland,0,1,0,3,109353196
22972,Green Zone,Brian Helgeland,0,1,0,2,114470307
146238,Runner Runner,Brian Koppelman,0,1,0,0,0
211672,Minions,Brian Lynch,0,1,0,0,0
328111,The Secret Life of Pets,Brian Lynch,0,1,0,1,1082730962
24662,Cats Don't Dance,Brian McEntee,1,0,0,0,0
2652,Hard Candy,Brian Nelson,0,1,0,0,0
299145,Stranded,Brian Pittman,1,0,0,0,0
22617,Dinner Rush,Brian S. Kalata,1,0,0,0,0
44826,Hugo,Brian Selznick,1,0,0,0,0
18501,Gamer,Brian Taylor,0,1,0,0,0
98357,Broken City,Brian Tucker,1,0,0,0,0
87499,The East,Brit Marling,0,0,1,2,1971383
86812,Sound of My Voice,Brit Marling,0,0,1,0,0
55420,Another Earth,Brit Marling,0,0,1,1,294448
227973,The Peanuts Movie,Bryan Schulz,1,0,0,0,0
246655,X-Men: Apocalypse,Bryan Singer,0,1,0,0,0
24113,Town & Country,Buck Henry,1,0,0,0,0
49017,Dracula Untold,Burk Sharpless,1,0,0,0,0
274854,The Last Witch Hunter,Burk Sharpless,1,0,0,1,145529201
14536,New in Town,C. Jay Cox,0,1,0,0,0
283445,Sinister 2,C. Robert Cargill,0,1,0,0,0
9390,Jerry Maguire,Cameron Crowe,0,1,0,0,0
222936,Aloha,Cameron Crowe,0,1,0,1,223552592
226354,The Christmas Candle,Candace Lee,1,0,0,0,0
4997,Wonderland,Captain Mauzner,1,0,0,0,0
259693,The Conjuring 2,Carey Hayes,1,0,0,0,0
9781,Detroit Rock City,Carl V. Dupré,0,1,0,0,0
65749,Tango,Carlos Saura,0,1,0,0,0
242095,The Signal,Carlyle Eurbank,1,0,0,0,0
15907,Duma,Carol Cawthra,1,0,0,0,0
14877,September Dawn,Carole Whang Schutter,1,0,0,0,0
347126,God's Not Dead 2,Cary Solomon,1,0,0,0,0
1493,Miss Congeniality,Caryn Lucas,0,0,1,0,0
244403,Rudderless,Casey Twenter,1,0,0,0,0
123553,The Mortal Instruments: City of Bones,Cassandra Clare,0,0,1,0,0
73511,The Californians,Catherine DiNapoli,1,0,0,0,0
29731,And Then Came Love,Caytha Jentis,1,0,0,0,0
83860,October Baby,Cecil Stokes,0,1,0,0,0
370662,Time to Choose,Chad Beck,1,0,0,0,0
124459,The Incredible Burt Wonderstone,Chad Kultgen,1,0,0,0,0
365222,Ip Man 3,Chan Tai-Li,1,0,0,0,0
19997,Niagara,Charles Brackett,0,1,0,0,0
27723,Psycho Beach Party,Charles Busch,0,1,0,0,0
20616,Swimfan,Charles F. Bohl,1,0,0,0,0
12901,No End in Sight,Charles Ferguson,0,1,0,0,0
14325,The Express,Charles Leavitt,1,0,0,0,0
