movie_id,title,budget,runtime,target,release_year,actor_unknown,actor_male,actor_female,actor_credits,actor_net_to_date,director_unknown,director_male,director_female,director_credits,director_net_to_date,writer_unknown,writer_male,writer_female,writer_credits,writer_net_to_date,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,genre_count,language_count,January,February,March,April,May,June,July,August,September,October,November,December,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
187,Sin City,40000000.0,124.0,1.0,2005.0,0.0,0.0,1.0,1.0,44646763.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,Sin City: A Dame to Kill For,65000000.0,102.0,-1.0,2014.0,0.0,1.0,0.0,4.0,164778660.0,0.0,1.0,0.0,2.0,97765157.0,0.0,1.0,0.0,1.0,118733820.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
218,The Terminator,6400000.0,108.0,1.0,1984.0,0.0,1.0,0.0,2.0,141114085.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
248,Pocketful of Miracles,2900000.0,136.0,1.0,1961.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,24527489.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
278,The Shawshank Redemption,25000000.0,142.0,1.0,1994.0,0.0,1.0,0.0,1.0,-25061851.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
280,Terminator 2: Judgment Day,100000000.0,137.0,1.0,1991.0,0.0,1.0,0.0,10.0,925881568.0,0.0,1.0,0.0,3.0,256787753.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
331,Jurassic Park III,93000000.0,92.0,1.0,2001.0,0.0,1.0,0.0,1.0,857100000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
345,Eyes Wide Shut,65000000.0,159.0,1.0,1999.0,0.0,1.0,0.0,8.0,1613736669.0,0.0,1.0,0.0,5.0,107107646.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
348,Alien,11000000.0,117.0,1.0,1979.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
388,Inside Man,45000000.0,129.0,1.0,2006.0,0.0,1.0,0.0,16.0,630932899.0,0.0,1.0,0.0,13.0,81449605.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
429,"The Good, the Bad and the Ugly",1200000.0,161.0,1.0,1966.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14300000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
462,Erin Brockovich,52000000.0,131.0,1.0,2000.0,0.0,0.0,1.0,7.0,1497028529.0,0.0,1.0,0.0,3.0,58480337.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
489,Good Will Hunting,10000000.0,126.0,1.0,1997.0,0.0,1.0,0.0,5.0,1075500730.0,0.0,1.0,0.0,2.0,5185850.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
492,Being John Malkovich,13000000.0,112.0,1.0,1999.0,0.0,1.0,0.0,4.0,-25031751.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
500,Reservoir Dogs,1200000.0,99.0,1.0,1992.0,0.0,1.0,0.0,1.0,2500000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
534,Terminator Salvation,200000000.0,115.0,1.0,2009.0,0.0,1.0,0.0,8.0,1043812724.0,0.0,1.0,0.0,3.0,289826697.0,0.0,1.0,0.0,1.0,59423648.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
549,Basquiat,2962051.0,108.0,1.0,1996.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
588,Silent Hill,50000000.0,125.0,1.0,2006.0,0.0,0.0,1.0,1.0,-492110.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
594,The Terminal,60000000.0,128.0,1.0,2004.0,0.0,1.0,0.0,14.0,3426019730.0,0.0,1.0,0.0,17.0,5446648330.0,0.0,1.0,0.0,1.0,204118201.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
603,The Matrix,63000000.0,136.0,1.0,1999.0,0.0,1.0,0.0,5.0,474624853.0,0.0,0.0,1.0,1.0,2511317.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
617,Wild Things,20000000.0,108.0,1.0,1998.0,0.0,1.0,0.0,2.0,19051127.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
629,The Usual Suspects,6000000.0,106.0,1.0,1995.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
650,Boyz n the Hood,6500000.0,112.0,1.0,1991.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
745,The Sixth Sense,40000000.0,107.0,1.0,1999.0,0.0,1.0,0.0,9.0,1159330441.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
754,Face/Off,80000000.0,138.0,1.0,1997.0,0.0,1.0,0.0,6.0,680900683.0,0.0,1.0,0.0,1.0,100270147.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
762,Monty Python and the Holy Grail,400000.0,91.0,1.0,1975.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
770,Gone with the Wind,4000000.0,238.0,1.0,1939.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,30977967.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
773,Little Miss Sunshine,8000000.0,102.0,1.0,2006.0,0.0,1.0,0.0,2.0,176553.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
801,"Good Morning, Vietnam",13000000.0,121.0,1.0,1987.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9331907.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
837,Videodrome,5952000.0,87.0,-1.0,1983.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
