mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_oob_score,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.254349152247111,0.07237180074055989,0.5899122807017544,0.6096655599569091,entropy,440,auto,16,49,10,360,True,"{'max_features': 'auto', 'oob_score': True, 'max_depth': 440, 'max_leaf_nodes': 16, 'min_samples_split': 10, 'n_estimators': 360, 'min_samples_leaf': 49, 'criterion': 'entropy'}",274,0.5934426229508196,0.6293245469522241,0.5986842105263158,0.600328947368421,0.5775577557755776,0.5993431855500821,0.004093083180700873,0.0005158875751978063,0.008973725846005242,0.013906827072870756
1.54395325978597,0.09554362297058105,0.5866228070175439,0.6008863985576052,entropy,130,auto,41,54,46,480,False,"{'max_features': 'auto', 'oob_score': False, 'max_depth': 130, 'max_leaf_nodes': 41, 'min_samples_split': 46, 'n_estimators': 480, 'min_samples_leaf': 54, 'criterion': 'entropy'}",368,0.5836065573770491,0.6128500823723229,0.5888157894736842,0.59375,0.5874587458745875,0.5960591133004927,0.007482688669608621,0.0001819133237752844,0.002208570873064594,0.008511964084844791
0.6264739831288656,0.036758740743001304,0.581140350877193,0.6348849056615862,gini,470,auto,51,34,116,180,True,"{'max_features': 'auto', 'oob_score': True, 'max_depth': 470, 'max_leaf_nodes': 51, 'min_samples_split': 116, 'n_estimators': 180, 'min_samples_leaf': 34, 'criterion': 'gini'}",470,0.5868852459016394,0.6556836902800659,0.5822368421052632,0.6233552631578947,0.5742574257425742,0.625615763546798,0.011556144925692267,0.0001013362793789265,0.005213236287417359,0.014735886959087069
1.726908524831136,0.09676766395568848,0.5866228070175439,0.603080287185232,entropy,60,auto,29,52,7,490,True,"{'max_features': 'auto', 'oob_score': True, 'max_depth': 60, 'max_leaf_nodes': 29, 'min_samples_split': 7, 'n_estimators': 490, 'min_samples_leaf': 52, 'criterion': 'entropy'}",368,0.5901639344262295,0.6161449752883031,0.5888157894736842,0.5953947368421053,0.5808580858085809,0.5977011494252874,0.00858886565898838,0.00018321016087019296,0.004103360362739713,0.009285990924464752
1.3710606098175049,0.09095239639282227,0.5932017543859649,0.6776364079070406,entropy,210,auto,40,8,149,410,False,"{'max_features': 'auto', 'oob_score': False, 'max_depth': 210, 'max_leaf_nodes': 40, 'min_samples_split': 149, 'n_estimators': 410, 'min_samples_leaf': 8, 'criterion': 'entropy'}",171,0.5737704918032787,0.6820428336079077,0.6151315789473685,0.6776315789473685,0.5907590759075908,0.6732348111658456,0.015846323310845175,0.012581296151029549,0.016987056262467857,0.0035958617255678962
0.460541566212972,0.022691090901692707,0.5899122807017544,0.6798239978271342,gini,380,,35,47,55,110,False,"{'max_features': None, 'oob_score': False, 'max_depth': 380, 'max_leaf_nodes': 35, 'min_samples_split': 55, 'n_estimators': 110, 'min_samples_leaf': 47, 'criterion': 'gini'}",274,0.5606557377049181,0.6869851729818781,0.618421052631579,0.6644736842105263,0.5907590759075908,0.6880131362889984,0.004679768251677977,0.00016695570146541138,0.023609501604243594,0.010862420639874616
1.2361853917439778,0.07428201039632161,0.5833333333333334,0.6326892224881354,entropy,380,sqrt,42,33,128,370,False,"{'max_features': 'sqrt', 'oob_score': False, 'max_depth': 380, 'max_leaf_nodes': 42, 'min_samples_split': 128, 'n_estimators': 370, 'min_samples_leaf': 33, 'criterion': 'entropy'}",449,0.580327868852459,0.6556836902800659,0.5855263157894737,0.6118421052631579,0.5841584158415841,0.6305418719211823,0.03231934887426759,0.0006877266281774799,0.0022022884923993914,0.01796254399283389
0.9815049966176351,0.06271878878275554,0.5888157894736842,0.6189821463038573,entropy,310,log2,55,33,60,310,False,"{'max_features': 'log2', 'oob_score': False, 'max_depth': 310, 'max_leaf_nodes': 55, 'min_samples_split': 60, 'n_estimators': 310, 'min_samples_leaf': 33, 'criterion': 'entropy'}",302,0.5934426229508196,0.6359143327841845,0.5888157894736842,0.6085526315789473,0.5841584158415841,0.6124794745484401,0.010930507686213767,0.0005950210758535282,0.0037902411740792456,0.012079713798491395
0.4333396752675374,0.024988810221354168,0.5767543859649122,0.6485856594087996,entropy,180,sqrt,8,28,27,120,True,"{'max_features': 'sqrt', 'oob_score': True, 'max_depth': 180, 'max_leaf_nodes': 8, 'min_samples_split': 27, 'n_estimators': 120, 'min_samples_leaf': 28, 'criterion': 'entropy'}",490,0.5770491803278689,0.6639209225700164,0.5921052631578947,0.6381578947368421,0.5610561056105611,0.6436781609195402,0.0017725304193759004,0.0002239555056992188,0.012667043610683871,0.011075379808379507
1.1509946187337239,0.06533630688985188,0.6074561403508771,0.6639392699471984,gini,120,sqrt,13,17,123,330,True,"{'max_features': 'sqrt', 'oob_score': True, 'max_depth': 120, 'max_leaf_nodes': 13, 'min_samples_split': 123, 'n_estimators': 330, 'min_samples_leaf': 17, 'criterion': 'gini'}",9,0.5901639344262295,0.6820428336079077,0.631578947368421,0.6529605263157895,0.6006600660066007,0.6568144499178982,0.006269060874621258,0.0007481879001960442,0.01758738677420592,0.012897478944758612
