movie_id,title,budget,revenue,release_date,movie_url
9275,Death to Smoochy,50000000,8374062,2002-03-28,https://www.the-numbers.com//movie/Death-to-Smoochy#tab=summary
10416,What Planet Are You From?,50000000,6291602,2000-03-03,https://www.the-numbers.com//movie/What-Planet-Are-You-From#tab=summary
96724,Anna Karenina,49000000,71004627,2012-09-06,https://www.the-numbers.com//movie/Anna-Karenina-(2012)#tab=summary
11232,Kate & Leopold,48000000,70937778,2001-12-25,https://www.the-numbers.com//movie/Kate-and-Leopold#tab=summary
11467,America's Sweethearts,46000000,160648493,2001-07-17,https://www.the-numbers.com//movie/Americas-Sweethearts#tab=summary
15045,Fat Albert,45000000,48563556,2004-12-12,https://www.the-numbers.com//movie/Fat-Albert#tab=summary
8987,The River Wild,45000000,94215000,1994-09-30,https://www.the-numbers.com//movie/River-Wild-The#tab=summary
11359,The Indian in the Cupboard,45000000,35627222,1995-07-14,https://www.the-numbers.com//movie/Indian-in-the-Cupboard-The#tab=summary
4688,Across the Universe,45000000,29367143,2007-09-14,https://www.the-numbers.com//movie/Across-the-Universe#tab=summary
9625,The Glimmer Man,45000000,36404841,1996-10-04,https://www.the-numbers.com//movie/Glimmer-Man-The#tab=summary
9304,Multiplicity,45000000,20133326,1996-07-19,https://www.the-numbers.com//movie/Multiplicity#tab=summary
21355,All the Pretty Horses,45000000,18120267,2000-12-11,https://www.the-numbers.com//movie/All-the-Pretty-Horses#tab=summary
1494,Curse of the Golden Flower,45000000,76904429,2006-12-21,https://www.the-numbers.com//movie/Man-cheng-jin-dai-huang-jin-jia#tab=summary
116977,Foodfight!,45000000,73706,2012-06-15,https://www.the-numbers.com//movie/Foodfight#tab=summary
9623,The Juror,44000000,22730924,1996-02-02,https://www.the-numbers.com//movie/Juror-The#tab=summary
10468,28 Days,43000000,62063972,2000-04-06,https://www.the-numbers.com//movie/28-Days#tab=summary
87826,Here Comes the Boom,42000000,73239258,2012-10-11,https://www.the-numbers.com//movie/Here-Comes-the-Boom#tab=summary
25189,The Mirror Has Two Faces,42000000,41267469,1996-11-15,https://www.the-numbers.com//movie/Mirror-Has-Two-Faces-The#tab=summary
18480,Brüno,42000000,138708527,2009-07-08,https://www.the-numbers.com//movie/Bruno#tab=summary
10610,The Medallion,41000000,22108977,2003-08-15,https://www.the-numbers.com//movie/Medallion-The#tab=summary
9930,Legal Eagles,40000000,49851591,1986-06-18,https://www.the-numbers.com//movie/Legal-Eagles#tab=summary
71864,The Odd Life of Timothy Green,40000000,55249159,2012-08-15,https://www.the-numbers.com//movie/Odd-Life-of-Timothy-Green-The#tab=summary
9096,Medicine Man,40000000,44948240,1992-02-07,https://www.the-numbers.com//movie/Medicine-Man#tab=summary
10641,Autumn in New York,40000000,90717684,2000-08-11,https://www.the-numbers.com//movie/Autumn-in-New-York#tab=summary
10154,Mickey Blue Eyes,40000000,53864342,1999-08-16,https://www.the-numbers.com//movie/Mickey-Blue-Eyes#tab=summary
